region,Новые диагнозы,Доля расходов на покупку алкоголя,Относительное число преступлений
Алтайский край,104.4,1.6,0.004255377520615669
Амурская область,123.9,1.5,0.004307899454610096
Архангельская область,67.3,1.2,0.0037899099328358886
Астраханская область,24.599999999999998,1.8,0.0026112724529492684
Белгородская область,46.0,1.6,0.0015096114947609502
Брянская область,95.60000000000001,2.0,0.0024804467970407943
Владимирская область,76.30000000000001,1.1,0.002318046866133892
Волгоградская область,65.2,1.3,0.0024187350872918105
Вологодская область,56.3,1.4,0.003632741949434493
Воронежская область,97.6,1.4,0.001829608032576388
Москва,30.299999999999997,1.8,0.0005832609805934534
Санкт-Петербург,25.2,1.6,0.0007646887287816058
Севастополь,109.5,1.2,0.0011822784581644902
Еврейская автономная область,172.2,2.4,0.002663948522008842
Забайкальский край,84.9,2.0,0.006006840028711232
Ивановская область,85.7,2.7,0.0023203011412296602
Иркутская область,100.9,1.2,0.0039028044056063924
Кабардино-Балкарская Республика,63.099999999999994,0.6,0.0008716040631757096
Калининградская область,86.10000000000001,2.0,0.0020844413268182485
Калужская область,62.4,1.3,0.0021171412153995523
Камчатский край,70.0,1.7,0.003676248637690922
Карачаево-Черкесская Республика,32.300000000000004,0.2,0.001430526051254073
Кемеровская область,55.4,1.3,0.004246414703753119
Кировская область,56.1,1.9,0.004139582378554039
Костромская область,74.0,2.3,0.0028763453936889874
Краснодарский край,24.0,1.6,0.0011224745429324382
Красноярский край,90.19999999999999,1.8,0.0031440216615994426
Курганская область,108.6,1.5,0.004725045255726302
Курская область,56.199999999999996,1.6,0.0024515803841050152
Ленинградская область,44.0,1.8,0.0015342013250953667
Липецкая область,79.4,1.3,0.0018338599780601118
Магаданская область,156.10000000000002,1.1,0.005069600804338899
Московская область,51.4,1.2,0.0013746691129206397
Мурманская область,64.8,2.1,0.00241960494936208
Ненецкий АО,152.39999999999998,1.6,0.005156403294622282
Нижегородская область,53.400000000000006,1.3,0.002218300559661273
Новгородская область,79.3,0.8,0.0030368351613204152
Новосибирская область,52.9,2.7,0.002175139544008271
Омская область,36.7,1.7,0.0024123094648427755
Оренбургская область,100.69999999999999,1.1,0.0029551601191437423
Орловская область,96.7,1.2,0.001694463715081268
Пензенская область,127.5,2.2,0.0025172539627024595
Пермский край,111.10000000000001,1.8,0.003447219243143864
Приморский край,106.19999999999999,1.8,0.0026703904624857705
Псковская область,95.1,1.8,0.002946076477286624
Республика Адыгея,62.0,0.8,0.0014887497141248703
Республика Алтай,78.30000000000001,1.4,0.006748421408533075
Республика Башкортостан,65.2,1.4,0.0030355430319143027
Республика Бурятия,48.199999999999996,0.8,0.0052548986903942245
Республика Дагестан,24.4,0.6,0.00028352698496432097
Республика Ингушетия,2.1,0.1,0.00027342564129370536
Республика Калмыкия,45.0,1.0,0.002648112761189377
Республика Карелия,90.10000000000001,2.7,0.003773120882250152
Республика Коми,110.60000000000001,2.0,0.005238275909832758
Республика Крым,70.1,0.9,0.0014232526317881724
Республика Марий Эл,78.2,1.7,0.0025118316235045123
Республика Мордовия,71.0,1.4,0.0024663609485307426
Республика Саха (Якутия),137.0,1.3,0.004445666999996898
Республика Северная Осетия-Алания,51.5,0.8,0.000727919651399422
Республика Татарстан,60.5,1.6,0.002137418599568874
Республика Тыва,89.5,1.0,0.006229521334800554
Республика Хакасия,94.9,1.8,0.005058125546704665
Ростовская область,40.3,2.1,0.0014373013002341563
Рязанская область,72.1,1.2,0.0016784291339395423
Самарская область,58.4,2.0,0.0019239481275435605
Саратовская область,57.4,1.7,0.0022730112687770272
Сахалинская область,128.7,1.5,0.0036863968891303373
Свердловская область,66.7,1.7,0.0028407912600021457
Смоленская область,76.69999999999999,1.0,0.0026560890017965477
Ставропольский край,28.0,1.6,0.0010700321939809884
Тамбовская область,49.2,0.4,0.002459727983023054
Тверская область,48.2,1.8,0.0022896326191128797
Томская область,51.2,1.7,0.003061881753263749
Тульская область,76.0,1.7,0.001583021034366636
Тюменская область,75.2,0.7,0.0036333826080944495
Удмуртская Республика,63.2,2.1,0.0041840532310815385
Ульяновская область,123.4,1.0,0.002451518714228498
Хабаровский край,144.4,1.8,0.003230485980417307
Ханты-Мансийский АО,51.1,1.6,0.0022749196866200462
Челябинская область,91.8,2.0,0.003457380314423954
Чеченская Республика,4.3,0.0,0.00012491840837474975
Чувашская Республика,79.10000000000001,1.5,0.0023189566738461413
Чукотский АО,232.4,2.5,0.006221935847612911
Ямало-Ненецкий АО,109.8,2.2,0.003050903174453672
Ярославская область,65.2,1.5,0.002140341629009568
