region,child_percent,elderly_percent,population,расходы на соцполитику
Алтайский край,38.7,3.9,2332813.0,28.3
Амурская область,33.9,7.2,793194.0,22.7
Архангельская область,31.3,8.9,1100290.0,22.4
Астраханская область,43.4,4.7,1014065.0,25.8
Белгородская область,29.4,8.2,1547418.0,13.8
Брянская область,37.5,5.1,1200187.0,20.7
Владимирская область,34.8,4.8,1365805.0,23.4
Волгоградская область,35.3,4.7,2507509.0,24.0
Вологодская область,38.2,3.3,1167713.0,24.1
Воронежская область,45.2,5.4,2327821.0,19.0
Москва,40.2,11.3,12615279.0,17.2
Санкт-Петербург,17.4,3.3,5383890.0,18.4
Севастополь,45.2,2.1,443212.0,13.2
Еврейская автономная область,32.0,10.5,159913.0,25.7
Забайкальский край,37.9,7.8,1065785.0,22.1
Ивановская область,47.5,5.0,1004180.0,25.1
Иркутская область,39.8,7.4,2397763.0,29.3
Кабардино-Балкарская Республика,39.0,9.6,866219.0,24.0
Калининградская область,36.8,6.0,1002187.0,9.3
Калужская область,31.1,18.4,1009380.0,16.6
Камчатский край,46.4,3.0,314723.0,13.7
Карачаево-Черкесская Республика,38.3,11.0,465563.0,20.8
Кемеровская область,39.4,5.9,2674256.0,22.5
Кировская область,38.0,3.9,1272109.0,25.0
Костромская область,42.1,6.3,637267.0,19.2
Краснодарский край,41.2,5.2,5648235.0,22.9
Красноярский край,40.7,4.8,2874026.0,21.8
Курганская область,41.6,4.6,834701.0,22.8
Курская область,47.0,5.9,1107041.0,20.9
Ленинградская область,16.8,7.8,1847867.0,16.5
Липецкая область,46.4,4.8,1144035.0,19.9
Магаданская область,45.8,8.8,141234.0,12.3
Московская область,49.1,11.5,7599647.0,19.0
Мурманская область,36.9,6.2,748056.0,21.2
Ненецкий АО,45.6,2.0,43829.0,14.3
Нижегородская область,31.9,9.7,3214623.0,22.4
Новгородская область,38.8,4.7,600296.0,21.9
Новосибирская область,44.5,3.4,2793384.0,21.1
Омская область,42.5,5.8,1944195.0,27.9
Оренбургская область,44.0,4.5,1963007.0,23.9
Орловская область,38.9,6.3,739467.0,25.0
Пензенская область,43.3,7.5,1318103.0,22.0
Пермский край,40.9,6.8,2610800.0,22.1
Приморский край,41.0,7.7,1902718.0,22.1
Псковская область,38.0,10.1,629651.0,21.3
Республика Адыгея,37.7,10.8,454744.0,18.3
Республика Алтай,48.2,3.2,218866.0,16.1
Республика Башкортостан,42.9,6.0,4051005.0,20.0
Республика Бурятия,43.8,3.7,983273.0,20.5
Республика Дагестан,42.1,7.9,3086126.0,24.5
Республика Ингушетия,37.3,12.3,497393.0,29.5
Республика Калмыкия,27.0,2.0,272647.0,23.5
Республика Карелия,42.2,6.0,618056.0,24.4
Республика Коми,39.7,6.4,830235.0,21.8
Республика Крым,40.2,7.5,1911818.0,13.0
Республика Марий Эл,43.8,3.3,680380.0,22.7
Республика Мордовия,26.8,12.1,795504.0,21.9
Республика Саха (Якутия),46.7,6.9,967009.0,15.1
Республика Северная Осетия-Алания,34.0,11.2,699253.0,23.7
Республика Татарстан,42.5,7.3,3898628.0,12.7
Республика Тыва,47.2,5.4,324423.0,21.2
Республика Хакасия,37.6,5.7,536167.0,23.8
Ростовская область,39.4,9.8,4202320.0,25.1
Рязанская область,30.2,9.6,1114137.0,20.4
Самарская область,40.5,7.3,3183038.0,22.0
Саратовская область,41.1,5.6,2440815.0,25.7
Сахалинская область,44.9,12.1,489638.0,13.8
Свердловская область,42.9,7.2,4315699.0,22.3
Смоленская область,39.1,8.9,942363.0,25.3
Ставропольский край,43.6,5.4,2795243.0,26.3
Тамбовская область,41.0,5.1,1015966.0,23.1
Тверская область,36.7,13.8,1269636.0,21.4
Томская область,40.3,6.9,1077442.0,20.8
Тульская область,43.0,3.2,1478818.0,22.8
Тюменская область,43.7,7.4,1518695.0,20.6
Удмуртская Республика,45.2,7.6,1507390.0,20.5
Ульяновская область,33.0,5.8,1238416.0,25.2
Хабаровский край,43.2,13.7,1321473.0,22.8
Ханты-Мансийский АО,46.0,7.5,1663795.0,15.6
Челябинская область,42.8,1.0,3475753.0,23.3
Чеченская Республика,47.8,8.6,1456951.0,28.5
Чувашская Республика,35.7,3.9,1223395.0,21.8
Чукотский АО,32.6,0.9,49663.0,4.7
Ямало-Ненецкий АО,54.1,1.3,541479.0,13.0
Ярославская область,34.4,8.0,1259612.0,22.3
