region,morbidity_age_disease_2019,child_mortality_urban_2019,child_mortality_rural_2019,Относительное число инвалидов,Относительное число умерших в первый год детей
Алтайский край,225245.4,54.0,60.0,0.07501947934389368,4.886804043015878e-05
Амурская область,164818.1,27.0,16.0,0.0825452747583399,5.421120179930761e-05
Архангельская область,201995.6,42.0,16.0,0.07814348944369212,5.271337556462387e-05
Астраханская область,128688.6,54.0,18.0,0.04299527150626439,7.100136579016138e-05
Белгородская область,144354.3,23.0,16.0,0.1317337439959123,2.5203274099176823e-05
Брянская область,154674.0,26.0,11.0,0.08933753656721828,3.082852922086308e-05
Владимирская область,184870.3,43.0,15.0,0.09148878012112514,4.246579855835936e-05
Волгоградская область,127654.7,55.0,32.0,0.0695536553075848,3.469578773196826e-05
Вологодская область,176503.8,42.0,24.0,0.0822735695043788,5.6520737544242464e-05
Воронежская область,108788.6,74.0,7.0,0.09323669360029545,3.479648993629665e-05
Москва,125527.9,642.0,5.0,0.0810114927567859,5.128701473823924e-05
Санкт-Петербург,191298.8,214.0,0.0,0.10783945251481736,3.97482117948175e-05
Севастополь,103751.3,15.0,0.0,0.045563973899623654,3.3843848993258306e-05
Еврейская автономная область,137374.7,13.0,3.0,0.0791451184915131,0.00010005440458249172
Забайкальский край,135801.6,50.0,38.0,0.07381484070426962,8.256824781733652e-05
Ивановская область,171699.3,31.0,9.0,0.07802535402019559,3.983349598677528e-05
Иркутская область,194299.4,122.0,49.0,0.08757197159741532,7.131647289577827e-05
Кабардино-Балкарская Республика,88686.4,26.0,24.0,0.06618245501426313,5.772212338911984e-05
Калининградская область,157417.6,47.0,9.0,0.06948220907541873,5.5877795261762524e-05
Калужская область,145328.8,29.0,7.0,0.07643710330433863,3.5665458003923204e-05
Камчатский край,157582.2,22.0,7.0,0.0436426105919597,9.214452073728327e-05
Карачаево-Черкесская Республика,132249.2,11.0,16.0,0.10959651719172987,5.799429937516512e-05
Кемеровская область,172161.4,127.0,23.0,0.08281976370250267,5.6090366816041544e-05
Кировская область,152226.8,28.0,9.0,0.09612305234850159,2.9085557919958117e-05
Костромская область,148416.0,36.0,7.0,0.09352581675603266,6.74756420778104e-05
Краснодарский край,131627.2,153.0,76.0,0.07616019281539572,4.0543638853553366e-05
Красноярский край,155857.6,140.0,56.0,0.06281603460325921,6.819701700680509e-05
Курганская область,184674.2,21.0,17.0,0.08757696867900401,4.5525283904056665e-05
Курская область,105695.2,27.0,14.0,0.10776512944567244,3.7035665345727935e-05
Ленинградская область,128221.6,27.0,13.0,0.07447167463892153,2.164657954279177e-05
Липецкая область,134095.6,15.0,14.0,0.10265281802275864,2.534887481589287e-05
Магаданская область,139121.9,8.0,0.0,0.035375098536235376,5.6643584406021215e-05
Московская область,138599.4,267.0,29.0,0.05542981141097738,3.8949177507850035e-05
Мурманская область,165865.6,33.0,1.0,0.03810231676059903,4.545114269519929e-05
Ненецкий АО,275309.4,1.0,0.0,0.06659403591229551,2.2815943781514522e-05
Нижегородская область,180270.2,107.0,39.0,0.08967757131499815,4.541745641712885e-05
Новгородская область,178616.8,19.0,9.0,0.09702491215444825,4.664365579647374e-05
Новосибирская область,154950.9,111.0,39.0,0.06561116075221547,5.3698310006787466e-05
Омская область,175108.1,82.0,51.0,0.06485464849633567,6.840877586867573e-05
Оренбургская область,155990.0,41.0,48.0,0.09619956356073445,4.533860551694416e-05
Орловская область,188500.1,20.0,12.0,0.08307177106393299,4.327441251604196e-05
Пензенская область,145392.8,35.0,22.0,0.0731339533658093,4.324396500121766e-05
Пермский край,191573.8,81.0,32.0,0.07766706245850569,4.328175271947296e-05
Приморский край,142166.6,83.0,33.0,0.05764674534008718,6.096541894279657e-05
Псковская область,134586.9,18.0,12.0,0.07650534449507214,4.7645441681185294e-05
Республика Адыгея,131095.0,16.0,4.0,0.07347522268939594,4.398078919128125e-05
Республика Алтай,182499.0,8.0,25.0,0.09876933831659554,0.00015077718786837607
Республика Башкортостан,168327.6,141.0,120.0,0.062380034913147066,6.442845664224062e-05
Республика Бурятия,124090.8,40.0,37.0,0.07574769841810633,7.830988952203508e-05
Республика Дагестан,152613.4,150.0,207.0,0.09708612026858268,0.00011567900986544295
Республика Ингушетия,131028.2,26.0,23.0,0.11381643891248971,9.851365017199679e-05
Республика Калмыкия,137083.1,0.0,4.0,0.07847784864678503,1.4670984826533944e-05
Республика Карелия,223914.4,19.0,7.0,0.0997969169999698,4.206738547963292e-05
Республика Коми,214804.2,31.0,9.0,0.07515723459823624,4.8179130005359926e-05
Республика Крым,103970.8,36.0,53.0,0.06492541828423695,4.655254841203504e-05
Республика Марий Эл,187278.8,24.0,6.0,0.09229168503875285,4.409300684911373e-05
Республика Мордовия,134792.9,16.0,10.0,0.08745514374115865,3.2683682294495064e-05
Республика Саха (Якутия),205690.0,37.0,20.0,0.055069463331434004,5.8944642707565286e-05
Республика Северная Осетия-Алания,140056.0,35.0,18.0,0.09436856187960581,7.579516998854492e-05
Республика Татарстан,158944.0,161.0,49.0,0.07277506770757987,5.386510331326816e-05
Республика Тыва,128115.6,21.0,20.0,0.06424431477833979,0.00012637821609441993
Республика Хакасия,165286.8,14.0,8.0,0.051389461368068774,4.103199189804669e-05
Ростовская область,162335.6,117.0,65.0,0.08398505666711086,4.330941004016829e-05
Рязанская область,137467.4,36.0,10.0,0.11821444161116033,4.1287561583539545e-05
Самарская область,198640.0,92.0,34.0,0.06627253586039501,3.9584824309354776e-05
Саратовская область,148188.6,62.0,24.0,0.05595808503853563,3.5234132861359835e-05
Сахалинская область,165809.6,22.0,3.0,0.04409209797169882,5.1058128658314916e-05
Свердловская область,147628.7,189.0,32.0,0.06325248045951923,5.120839057589512e-05
Смоленская область,138429.8,25.0,4.0,0.07973112979464035,3.077370397606867e-05
Ставропольский край,114540.4,85.0,80.0,0.07627628438743966,5.902885724067639e-05
Тамбовская область,129828.9,18.0,12.0,0.1079974625135093,2.9528547215162712e-05
Тверская область,177322.6,32.0,13.0,0.07693392699429863,3.544322939803219e-05
Томская область,140927.9,34.0,14.0,0.05140369504808612,4.454996185409516e-05
Тульская область,142750.0,40.0,14.0,0.0995970543140986,3.6515649660742566e-05
Тюменская область,126717.4,52.0,29.0,0.061513229011311246,5.333526481617441e-05
Удмуртская Республика,200329.2,37.0,29.0,0.06911355610249062,4.3784289400884977e-05
Ульяновская область,175489.3,35.0,13.0,0.0900741350240953,3.875918915776282e-05
Хабаровский край,131844.3,52.0,7.0,0.05114709116266469,4.46471475391476e-05
Ханты-Мансийский АО,177385.9,83.0,4.0,0.03148019036800407,5.229009583512392e-05
Челябинская область,170841.3,136.0,35.0,0.06341177484897996,4.91979723530412e-05
Чеченская Республика,111029.8,68.0,99.0,0.11142590473758784,0.00011462293515705058
Чувашская Республика,192401.6,26.0,10.0,0.06375046489482138,2.942630957295068e-05
Чукотский АО,232070.2,2.0,4.0,0.03300747035016008,0.00012081428830316332
Ямало-Ненецкий АО,229207.7,21.0,17.0,0.025040060033106853,7.0178160187191e-05
Ярославская область,175150.6,25.0,12.0,0.08132623379262821,2.9374124730472557e-05
