region,per_capita_cash_income_2019,real_incomes_2019,cramped_living_2019,area_per_person_2019,poverty_percent_by_regions_2019,per_capita_household_consumption_2019
Алтайский край,23937.0,99.6,16.7,25.9,17.6,258672.9
Амурская область,33304.0,101.7,22.700000000000003,23.2,15.7,402120.7
Архангельская область,33874.0,100.2,16.7,24.6,12.7,401526.2
Астраханская область,24971.0,100.7,22.5,24.9,15.5,286561.4
Белгородская область,32352.0,100.6,13.7,25.1,7.8,363318.2
Брянская область,28371.0,100.5,5.199999999999999,30.5,13.8,348733.0
Владимирская область,25358.0,101.9,18.3,24.2,12.6,313345.1
Волгоградская область,24158.0,101.0,17.2,25.6,12.9,296483.1
Вологодская область,28334.0,100.4,12.5,22.9,12.9,297161.7
Воронежская область,32022.0,101.1,13.0,29.0,8.9,361282.1
Москва,75084.0,104.2,24.2,21.4,6.4,781147.2
Санкт-Петербург,47169.0,101.1,17.9,25.1,6.4,592374.8
Севастополь,30261.0,101.2,26.5,21.5,11.6,340097.8
Еврейская автономная область,26602.0,101.2,17.7,20.1,23.9,300457.2
Забайкальский край,25750.0,101.9,18.1,23.1,21.5,284588.6
Ивановская область,25794.0,99.5,23.0,25.2,14.2,290804.6
Иркутская область,26306.0,101.7,20.1,21.3,17.9,303564.2
Кабардино-Балкарская Республика,21474.0,98.5,29.1,25.8,24.2,248613.1
Калининградская область,28952.0,101.4,19.3,23.1,13.5,322048.3
Калужская область,31394.0,102.8,20.1,22.6,10.2,365359.0
Камчатский край,52674.0,103.9,26.799999999999997,23.9,14.9,493997.1
Карачаево-Черкесская Республика,18821.0,99.7,29.0,24.3,23.3,180757.8
Кемеровская область,24886.0,101.1,14.6,23.3,13.6,273105.4
Кировская область,23604.0,101.2,14.3,22.9,14.6,278047.6
Костромская область,25285.0,100.9,19.3,21.7,12.6,282624.8
Краснодарский край,35673.0,99.9,21.599999999999998,26.9,10.4,428388.4
Красноярский край,31739.0,100.6,16.7,22.7,17.3,368081.2
Курганская область,21304.0,99.1,14.4,23.0,19.6,256417.3
Курская область,29149.0,100.9,15.0,24.4,9.9,328497.8
Ленинградская область,32306.0,100.7,20.2,24.7,8.8,360356.7
Липецкая область,32479.0,102.6,17.5,24.5,8.6,360314.2
Магаданская область,65357.0,103.1,19.799999999999997,23.7,9.3,591617.4
Московская область,47201.0,102.1,21.700000000000003,22.3,7.3,534488.0
Мурманская область,44237.0,100.8,16.4,23.9,10.6,451273.7
Ненецкий АО,81041.0,99.8,19.0,31.5,9.4,557988.4
Нижегородская область,33817.0,102.5,19.2,24.0,9.5,397644.9
Новгородская область,26003.0,97.7,13.7,25.6,13.8,318483.3
Новосибирская область,30559.0,101.7,21.4,23.2,13.9,329428.7
Омская область,26967.0,100.2,15.4,23.4,13.9,317073.4
Оренбургская область,24483.0,99.9,19.6,25.9,14.3,296587.4
