region,gross_regional_product_2019,total_goods_and_services_2019,retail_turnover_per_capita_2019,workers_2019,per_capita_household_consumption_2019
Алтайский край,271319.7,838317949.5,159514,81.6,258672.9
Амурская область,521060.1,340026685.79999995,231113,86.3,402120.7
Архангельская область,509917.0,533584941.4,240155,80.2,401526.2
Астраханская область,596388.2,901514684.4,179153,82.8,286561.4
Белгородская область,617426.5,1878072735.1399999,230704,87.9,363318.2
Брянская область,332442.8,561934168.4,225818,77.3,348733.0
Владимирская область,394560.3,1093307035.1399999,175251,86.4,313345.1
Волгоградская область,384677.3,2115819527.94,166998,79.8,296483.1
Вологодская область,541318.7,1514574515.96,170174,82.7,297161.7
Воронежская область,431037.0,1281962290.2,251882,86.0,361282.1
Москва,1555586.6,19939738616.29,403426,122.4,781147.2
Санкт-Петербург,950587.3,6015180470.799999,278027,103.0,592374.8
Севастополь,306891.7,44928706.7,154734,79.8,340097.8
Еврейская автономная область,355545.7,51589243.8,165356,71.2,300457.2
Забайкальский край,343033.0,402434575.53999996,163264,75.9,284588.6
Ивановская область,249591.6,389065910.4,178517,81.1,290804.6
Иркутская область,645518.8,2519160710.4,160562,81.6,303564.2
Кабардино-Балкарская Республика,197218.3,89730080.39999999,155182,73.4,248613.1
Калининградская область,515933.0,1343800113.22,179949,83.5,322048.3
Калужская область,541870.1,1839908326.8,210454,90.3,365359.0
Камчатский край,891049.1,373838130.6,197448,86.9,493997.1
Карачаево-Черкесская Республика,197658.3,79708703.0,86605,63.3,180757.8
Кемеровская область,416501.2,3457307230.8599997,150973,80.6,273105.4
Кировская область,292171.6,581205342.0,161370,84.1,278047.6
Костромская область,319404.6,380120932.8000001,171567,81.8,282624.8
Краснодарский край,453882.0,2360918626.16,258288,84.0,428388.4
Красноярский край,938016.7,5115060557.56,201665,85.7,368081.2
Курганская область,280971.3,308727360.46,144802,73.0,256417.3
Курская область,449288.6,744624873.2,206829,84.3,328497.8
Ленинградская область,657679.7,2652269945.2,235709,73.8,360356.7
Липецкая область,499587.0,1453132422.6,241566,91.2,360314.2
Магаданская область,1518066.7,391336527.0,240162,107.9,591617.4
Московская область,670800.3,6806299615.2,337814,78.2,534488.0
Мурманская область,828365.9,1066731927.2,240353,82.3,451273.7
Ненецкий АО,7530484.7,731029060.0,223587,126.0,557988.4
Нижегородская область,505460.2,3286706664.54,243303,92.7,397644.9
Новгородская область,457123.3,454100281.70000005,201392,88.3,318483.3
Новосибирская область,504043.1,1439488462.88,191413,84.4,329428.7
Омская область,399371.1,2067122265.52,184179,82.8,317073.4
Оренбургская область,564897.9,2006827968.0,167197,82.0,296587.4
Орловская область,360731.6,273666891.6,188964,74.9,307002.2
Пензенская область,342250.5,510941411.6,165855,81.8,266410.0
Пермский край,573894.3,3417861267.6,216516,78.0,352893.3
Приморский край,561643.0,791840917.0,235572,85.9,416411.9
Псковская область,313959.2,287488597.8,192571,83.7,299729.9
Республика Адыгея,288147.8,116162649.2,221468,60.2,334672.7
Республика Алтай,268657.4,16113947.0,132257,69.6,255102.8
Республика Башкортостан,447535.2,3595220771.8,230315,73.5,358877.5
Республика Бурятия,290301.4,278846643.64,192070,67.5,320181.6
Республика Дагестан,231886.3,147276354.0,191480,59.5,311005.7
Республика Ингушетия,145723.1,10879255.4,51702,63.8,126575.1
Республика Калмыкия,327149.3,9513774.61,83234,69.1,180774.2
Республика Карелия,527845.9,493520034.06,209593,79.5,361780.7
Республика Коми,873159.0,1352881793.52,196592,85.4,382227.7
Республика Крым,245411.7,312691240.2,143660,83.0,243406.3
Республика Марий Эл,300163.4,360334944.16,133493,75.4,240638.9
Республика Мордовия,332154.8,447758091.3,123273,86.3,231228.8
Республика Саха (Якутия),1258706.5,2008876122.2199998,254681,89.6,549511.4
Республика Северная Осетия-Алания,248172.2,57746339.6,170755,70.4,300857.5
Республика Татарстан,716745.5,5621435192.26,244232,89.6,407679.0
Республика Тыва,243052.4,54491462.42,80283,57.0,197873.1
Республика Хакасия,478781.0,448204353.8,170197,75.5,287624.3
Ростовская область,389933.4,2225880747.48,232282,81.7,361083.1
Рязанская область,392304.4,748377352.0,186792,82.6,318677.9
Самарская область,530579.4,3407104845.98,216113,91.8,357169.2
Саратовская область,333876.5,1131231759.44,155017,78.0,264846.6
Сахалинская область,2400858.1,2067661285.06,327601,99.6,629091.9
Свердловская область,586468.3,4937002856.78,277509,85.5,454751.2
Смоленская область,370820.2,554689316.0,188805,78.4,301787.7
Ставропольский край,295435.5,784936129.2,191606,79.1,310523.5
Тамбовская область,350323.2,384454624.1,209132,83.1,327256.5
Тверская область,383528.8,906196818.32,192877,87.4,318759.6
Томская область,577550.7,878275839.2,158968,80.3,309187.6
Тульская область,462903.4,1633183308.8000002,208800,87.8,340492.8
Тюменская область,821610.6,1949971419.22,263154,84.2,438494.2
Удмуртская Республика,479562.9,1421897732.4,161544,84.1,290514.5
Ульяновская область,340581.4,733515675.4,161005,82.6,280621.2
Хабаровский край,608977.5,929691850.5999999,262321,87.2,485798.2
Ханты-Мансийский АО,2733622.7,9630040656.26,262109,106.7,513896.9
Челябинская область,445276.7,3476511215.5999994,158480,92.9,283496.4
Чеченская Республика,164617.3,78485853.4,120058,66.1,237798.4
Чувашская Республика,278358.9,522887938.6,136291,74.1,243289.0
Чукотский АО,1898634.8,184130233.6,209839,107.3,618765.0
Ямало-Ненецкий АО,5710467.4,6217800181.52,261956,121.8,573202.0
Ярославская область,482944.9,903945127.74,199963,89.2,333134.3
